学号,姓名,语文,数学,英语,物理,化学,生物
S0090,张伟,85.9,74.2,71.9,57.7,51.2,80.8
S0091,罗杰,84.3,95.4,91.4,64.5,78.6,82.4
S0092,周娜,55.5,80.3,84.2,60.6,87.6,70.3
S0093,杨丽,53.4,100.0,79.0,69.4,75.3,71.2
S0094,黄斌,76.4,92.9,85.4,65.4,79.6,70.0
S0095,周浩,72.1,41.9,81.3,65.1,80.8,77.0
S0096,刘伟,75.0,88.0,78.1,85.5,62.5,82.0
S0097,林洋,73.9,82.7,75.2,77.8,67.0,77.4
S0098,孙辉,87.8,67.7,75.2,60.1,65.3,83.8
S0099,胡斌,79.0,50.8,69.5,62.2,71.7,54.3
S0100,周平,80.7,80.9,88.1,76.9,72.7,73.6
S0101,何浩,64.6,74.2,89.2,76.9,81.7,64.7
S0102,何鑫,44.4,71.7,67.0,61.5,66.3,79.3
S0103,罗艳,89.2,62.7,86.4,66.7,77.9,79.2
S0104,杨芳,99.4,53.1,70.7,95.9,79.6,81.8
S0105,李超,74.6,89.8,70.7,61.8,75.6,81.6
S0106,刘超,80.5,71.4,78.1,96.8,69.6,87.0
S0107,何斌,81.2,74.6,78.4,85.5,75.3,75.3
S0108,何芳,94.8,85.6,75.5,94.2,87.6,64.4
S0109,王波,86.9,71.9,59.0,61.2,83.9,58.6
S0110,刘伟,83.0,78.8,73.5,67.6,96.6,76.4
S0111,张霞,76.3,76.0,100.0,63.7,60.1,78.7
S0112,王刚,78.6,80.5,41.6,85.8,67.3,65.3
S0113,孙鑫,63.6,76.3,85.4,62.1,52.0,76.4
S0114,陈文,74.2,76.0,87.7,80.2,85.1,81.8
S0115,赵文,86.9,90.6,58.7,79.5,68.7,57.8
S0116,徐辉,76.4,70.7,69.4,69.3,75.7,89.8
S0117,何丽,78.4,58.4,63.0,71.9,65.1,88.6
S0118,刘平,66.2,81.6,97.2,71.5,75.3,53.8
S0119,王丽,76.3,75.2,88.2,81.7,88.9,69.8
S0120,徐明,63.4,97.6,88.8,63.1,87.6,69.4
S0121,郭伟,80.9,86.8,76.4,59.9,71.6,94.0
S0122,周波,76.1,83.5,90.7,80.2,83.0,81.8
S0123,陈明,60.6,72.2,74.9,76.0,83.3,59.5
S0124,李平,88.7,58.9,91.3,73.4,67.9,85.7
S0125,赵霞,76.4,69.0,73.2,65.2,53.9,62.5
S0126,李霞,96.6,0.0,66.8,76.8,61.3,73.1
S0127,罗强,92.8,46.1,96.7,54.4,55.6,67.5
S0128,罗军,69.2,90.6,74.7,53.6,87.6,81.8
S0129,张磊,70.1,100.0,64.2,83.2,90.4,86.3
S0130,杨秀英,66.3,42.8,64.1,82.0,93.6,92.7
S0131,黄伟,62.1,51.0,64.1,75.0,46.7,62.0
S0132,徐波,73.8,75.4,75.2,66.0,86.9,82.9
S0133,高文,92.4,63.3,73.8,77.0,100.0,67.9
S0134,吴娜,58.9,75.9,100.0,94.1,87.5,68.3
S0135,杨波,86.5,70.9,89.2,76.8,45.0,81.4
S0136,郭鑫,76.3,56.6,78.1,46.8,96.0,81.8
S0137,郭玲,83.5,91.3,91.8,64.1,73.5,81.2
S0138,罗波,85.3,79.0,69.1,63.3,70.0,84.0
S0139,何芳,67.0,63.6,52.7,92.8,78.9,71.2
S0140,张明,85.6,94.6,75.2,35.3,59.4,90.6
S0141,孙静,72.5,64.4,76.8,77.2,73.0,62.0
S0142,刘斌,53.4,53.4,72.3,66.4,94.1,90.8
S0143,周军,78.6,74.8,84.9,92.9,81.1,54.6
S0144,李霞,69.6,77.3,73.5,91.0,75.3,100.0
S0145,郭明,91.6,80.0,84.0,75.1,74.2,71.5
S0146,李平,75.1,82.4,93.0,47.9,57.6,63.2
S0147,张辉,78.5,79.7,73.5,62.0,71.1,73.4
S0148,罗勇,81.9,79.1,81.7,63.5,51.8,64.5
S0149,何磊,75.3,74.2,53.9,76.8,87.6,81.8
S0150,赵丽,77.0,61.8,73.5,86.2,75.3,91.0
S0151,黄平,86.4,83.1,60.2,76.8,84.1,65.1
S0152,李明,67.3,75.7,76.7,97.5,85.7,82.4
S0153,李玲,71.0,84.3,75.2,97.5,90.1,59.1
S0154,高娟,68.3,46.4,75.2,64.6,74.1,87.4
S0155,高芳,92.4,76.0,69.2,74.6,84.9,80.6
S0156,李明,71.0,100.0,100.0,69.0,70.9,87.8
S0157,周敏,76.6,80.3,59.8,82.6,57.6,74.7
S0158,张敏,72.0,76.4,59.1,76.8,92.9,71.2
S0159,张娟,74.9,82.6,94.9,73.6,71.7,85.0
S0160,郭平,70.6,100.0,66.5,76.8,54.7,61.6
S0161,黄强,82.6,100.0,63.7,61.3,66.9,56.8
S0162,李超,67.6,48.3,100.0,76.1,67.4,75.9
S0163,张明,64.5,53.8,86.8,72.3,79.0,71.7
S0164,孙斌,72.4,47.8,67.9,57.2,100.0,82.1
S0165,林桂英,70.0,60.8,77.6,69.8,87.6,88.0
S0166,朱浩,64.6,72.8,98.4,64.6,75.7,81.9
S0167,陈丽,74.8,75.6,83.3,61.5,100.0,87.1
S0168,马霞,61.4,76.0,90.4,53.9,85.7,79.5
S0169,黄斌,76.3,44.0,84.7,70.9,75.3,81.4
S0170,王刚,63.1,60.5,75.2,59.1,66.8,74.7
S0171,张波,71.5,85.7,75.5,63.4,77.1,81.1
S0172,胡伟,74.0,88.4,75.2,85.1,72.1,77.8
S0173,刘波,94.8,97.6,78.2,78.8,74.2,79.6
S0174,郭霞,76.3,71.5,83.8,56.3,90.1,74.2
S0175,赵娜,79.4,76.0,71.6,74.9,66.0,84.9
S0176,何超,88.4,87.1,76.5,71.9,79.7,68.2
S0177,孙波,74.9,64.5,71.3,93.8,85.3,75.8
S0178,朱刚,66.3,77.8,75.2,89.4,64.4,90.4
S0179,陈娜,76.9,81.9,60.0,48.5,62.3,65.6
S0180,周静,93.3,58.4,75.2,82.1,71.0,52.2
S0181,何娟,71.8,96.6,66.2,87.7,67.0,80.0
S0182,李波,92.4,71.4,70.7,77.8,88.0,73.2
S0183,张平,76.3,73.3,65.2,65.3,60.0,87.1
S0184,张娜,90.3,57.8,82.4,100.0,73.9,74.6
S0185,高玲,80.2,60.3,72.6,79.1,100.0,69.4
S0186,吴桂英,76.3,39.1,63.4,97.7,78.4,75.2
S0187,李磊,94.4,72.8,82.9,88.9,80.5,88.0
S0188,朱辉,80.3,100.0,84.5,71.9,88.1,82.3
S0189,高涛,79.7,56.7,74.2,61.9,67.0,49.2
S0190,王斌,86.1,100.0,67.0,69.7,58.9,78.0
S0191,吴芳,87.2,93.2,100.0,66.9,75.3,81.8
S0192,何磊,86.1,64.9,79.1,53.0,75.3,75.8
S0193,张军,64.5,72.4,59.7,79.1,52.0,69.3
S0194,徐桂英,71.6,70.0,92.0,91.9,77.9,89.1
S0195,郭强,71.4,97.6,64.7,65.8,86.9,89.7
S0196,吴文,70.2,79.8,100.0,100.0,61.1,51.8
S0197,李秀英,69.3,89.7,76.0,48.2,78.7,67.2
S0198,马波,71.3,77.4,87.2,71.9,84.6,74.4
S0199,杨玲,81.4,70.3,50.0,93.4,80.6,86.4
S0200,赵杰,82.9,76.9,59.6,67.1,81.9,76.4
