学号,姓名,语文,数学,英语,物理,化学,生物,总分,等级
S0161,黄强,82.6,100.0,63.7,61.3,66.9,56.8,431.3,良好
S0162,李超,67.6,48.3,100.0,76.1,67.4,75.9,435.3,良好
S0163,张明,64.5,53.8,86.8,72.3,79.0,71.7,428.1,良好
S0164,孙斌,72.4,47.8,67.9,57.2,100.0,82.1,427.4,良好
S0165,林桂英,70.0,60.8,77.6,69.8,87.6,88.0,453.8,良好
S0166,朱浩,64.6,72.8,98.4,64.6,75.7,81.9,458.0,良好
S0167,陈丽,74.8,75.6,83.3,61.5,100.0,87.1,482.3,良好
S0168,马霞,61.4,76.0,90.4,53.9,85.7,79.5,446.9,良好
S0169,黄斌,76.3,44.0,84.7,70.9,75.3,81.4,432.6,良好
S0170,王刚,63.1,60.5,75.2,59.1,66.8,74.7,399.4,及格
S0171,张波,71.5,85.7,75.5,63.4,77.1,81.1,454.3,良好
S0172,胡伟,74.0,88.4,75.2,85.1,72.1,77.8,472.6,良好
S0173,刘波,94.8,97.6,78.2,78.8,74.2,79.6,503.2,良好
S0174,郭霞,76.3,71.5,83.8,56.3,90.1,74.2,452.2,良好
S0175,赵娜,79.4,76.0,71.6,74.9,66.0,84.9,452.8,良好
S0176,何超,88.4,87.1,76.5,71.9,79.7,68.2,471.8,良好
S0177,孙波,74.9,64.5,71.3,93.8,85.3,75.8,465.6,良好
S0178,朱刚,66.3,77.8,75.2,89.4,64.4,90.4,463.5,良好
S0179,陈娜,76.9,81.9,60.0,48.5,62.3,65.6,395.2,及格
S0180,周静,93.3,58.4,75.2,82.1,71.0,52.2,432.2,良好
S0181,何娟,71.8,96.6,66.2,87.7,67.0,80.0,469.3,良好
S0182,李波,92.4,71.4,70.7,77.8,88.0,73.2,473.5,良好
S0183,张平,76.3,73.3,65.2,65.3,60.0,87.1,427.2,良好
S0184,张娜,90.3,57.8,82.4,100.0,73.9,74.6,479.0,良好
S0185,高玲,80.2,60.3,72.6,79.1,100.0,69.4,461.6,良好
S0186,吴桂英,76.3,39.1,63.4,97.7,78.4,75.2,430.1,良好
S0187,李磊,94.4,72.8,82.9,88.9,80.5,88.0,507.5,良好
S0188,朱辉,80.3,100.0,84.5,71.9,88.1,82.3,507.1,良好
S0189,高涛,79.7,56.7,74.2,61.9,67.0,49.2,388.7,及格
S0190,王斌,86.1,100.0,67.0,69.7,58.9,78.0,459.7,良好
S0191,吴芳,87.2,93.2,100.0,66.9,75.3,81.8,504.4,良好
S0192,何磊,86.1,64.9,79.1,53.0,75.3,75.8,434.2,良好
S0193,张军,64.5,72.4,59.7,79.1,52.0,69.3,397.0,及格
S0194,徐桂英,71.6,70.0,92.0,91.9,77.9,89.1,492.5,良好
S0195,郭强,71.4,97.6,64.7,65.8,86.9,89.7,476.1,良好
S0196,吴文,70.2,79.8,100.0,100.0,61.1,51.8,462.9,良好
S0197,李秀英,69.3,89.7,76.0,48.2,78.7,67.2,429.1,良好
S0198,马波,71.3,77.4,87.2,71.9,84.6,74.4,466.8,良好
S0199,杨玲,81.4,70.3,50.0,93.4,80.6,86.4,462.1,良好
S0200,赵杰,82.9,76.9,59.6,67.1,81.9,76.4,444.8,良好
